mode,minimum_edit_count,source_index,matrix_row,skill_id,tool,verified_R_star,mip_gap
deletion,71,163,136,skill_003,CancelRegistration,1.0,0.0
deletion,71,176,144,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,177,145,skill_003,ModifyRegistration,1.0,0.0
deletion,71,178,146,skill_004,RecordHealthData,1.0,0.0
deletion,71,200,162,skill_004,RecordHealthData,1.0,0.0
deletion,71,201,163,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,202,164,skill_003,QueryRegistration,1.0,0.0
deletion,71,207,169,skill_004,RecordHealthData,1.0,0.0
deletion,71,208,170,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,209,171,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,221,176,skill_003,ModifyRegistration,1.0,0.0
deletion,71,222,177,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,255,203,skill_003,CancelRegistration,1.0,0.0
deletion,71,256,204,skill_004,RecordHealthData,1.0,0.0
deletion,71,262,207,skill_003,QueryRegistration,1.0,0.0
deletion,71,263,208,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,274,217,skill_003,CancelRegistration,1.0,0.0
deletion,71,275,218,skill_004,RecordHealthData,1.0,0.0
deletion,71,302,238,skill_003,QueryRegistration,1.0,0.0
deletion,71,303,239,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,304,240,skill_003,QueryRegistration,1.0,0.0
deletion,71,305,241,skill_003,AppointmentRegistration,1.0,0.0
deletion,71,308,244,skill_003,QueryRegistration,1.0,0.0
deletion,71,309,245,skill_004,SymptomSearch,1.0,0.0
deletion,71,324,257,skill_003,QueryRegistration,1.0,0.0
deletion,71,325,258,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,343,269,skill_003,CancelRegistration,1.0,0.0
deletion,71,344,270,skill_004,RecordHealthData,1.0,0.0
deletion,71,360,284,skill_003,QueryRegistration,1.0,0.0
deletion,71,361,285,skill_004,EmergencyKnowledge,1.0,0.0
deletion,71,391,308,skill_003,CancelRegistration,1.0,0.0
deletion,71,392,309,skill_004,RecordHealthData,1.0,0.0
deletion,71,396,311,skill_003,QueryRegistration,1.0,0.0
